300 350
67 12 346
299 226 42
226 285 206
218 253 167
125 96 177
123 5 156
167 179 19
280 3 300
265 44 242
116 277 153
235 289 6
202 242 56
244 239 78
123 109 141
71 20 349
212 221 134
6 229 23
211 207 202
32 38 284
203 41 245
229 169 157
115 209 337
32 180 345
260 232 244
150 114 147
206 80 331
201 198 143
107 167 305
132 228 225
90 216 233
62 11 85
99 270 79
154 298 280
256 276 28
153 236 93
69 297 330
222 262 322
19 64 166
26 27 53
162 107 256
183 231 125
180 213 145
152 234 312
103 127 291
97 294 13
111 9 169
24 198 111
179 273 162
270 92 207
231 279 71
248 273 246
267 38 64
73 179 105
73 126 237
87 217 289
186 76 316
223 266 94
48 140 180
74 107 252
282 237 279
148 56 128
33 204 129
16 151 17
15 295 114
178 148 329
288 41 182
85 276 194
250 168 265
237 45 121
213 196 296
81 158 84
210 97 268
185 82 136
4 92 127
194 284 336
143 17 55
15 17 223
188 176 285
264 132 82
69 84 24
230 220 226
128 299 323
277 29 229
27 261 317
71 297 159
55 298 306
100 195 320
64 199 288
243 39 253
173 204 258
105 120 290
49 251 189
286 2 65
150 61 130
108 176 86
87 233 133
222 7 250
228 129 10
196 34 171
141 35 131
30 285 109
170 86 43
93 101 148
171 263 154
159 95 73
66 121 39
25 145 15
91 235 319
68 297 81
199 13 8
89 268 45
293 154 321
82 115 274
27 101 228
299 8 307
53 291 309
29 218 117
239 75 293
152 74 198
2 121 222
178 237 213
177 285 184
82 15 88
151 161 347
1 227 238
175 215 311
65 93 123
252 288 41
58 102 144
295 189 90
197 202 87
20 28 239
83 73 132
171 267 35
295 290 100
150 226 124
194 253 151
10 292 257
124 52 235
214 120 211
205 175 314
221 108 38
101 209 77
254 53 161
149 298 29
298 229 297
34 236 119
232 86 110
61 13 261
163 157 232
208 271 266
170 230 287
37 102 333
40 37 103
104 45 218
14 245 341
1 118 20
129 217 57
31 200 32
56 210 62
287 136 96
240 114 210
208 88 273
116 161 49
178 183 243
269 84 106
96 274 69
29 281 263
220 259 264
227 5 191
233 290 107
277 189 51
144 298 7
148 214 97
187 281 4
299 76 342
166 216 46
191 137 155
8 172 89
39 146 301
80 235 240
67 143 241
83 81 251
219 53 190
251 112 176
279 78 102
50 51 95
163 287 58
135 113 269
190 66 178
80 78 332
109 161 0
114 7 108
185 135 224
154 134 299
273 182 174
198 300 22
258 271 47
223 88 276
186 298 146
193 138 262
149 146 267
194 287 315
141 242 340
278 255 338
125 157 135
186 131 172
153 112 91
23 184 326
199 17 270
260 36 168
43 96 116
145 89 61
254 67 193
226 280 74
30 3 40
110 238 50
147 124 150
64 130 31
18 168 120
137 279 34
294 261 247
158 172 188
139 71 152
111 70 12
112 62 76
143 48 59
147 243 181
291 23 36
275 195 3
201 122 271
93 115 254
42 127 278
207 170 9
95 219 208
163 262 310
43 259 328
63 68 325
122 241 80
278 156 126
166 145 339
72 57 200
101 98 308
190 181 101
59 11 140
91 296 344
177 266 21
255 248 199
113 169 185
119 26 215
35 98 249
94 286 231
49 203 26
186 79 137
155 130 60
252 236 14
173 126 54
193 142 92
272 181 227
110 155 104
72 133 170
165 220 318
76 194 302
167 116 1
193 217 236
239 206 160
165 160 115
231 227 70
187 299 139
78 201 98
87 66 72
197 253 27
28 284 343
256 156 281
245 246 37
219 265 334
152 257 5
272 164 216
238 268 48
46 55 175
106 244 219
9 116 18
10 283 304
99 28 187
75 205 99
224 69 158
282 144 2
150 155 149
4 235 295
47 70 196
36 217 192
8 130 52
87 224 327
248 187 209
249 99 221
292 19 197
300 60 163
140 42 186
164 234 298
79 212 248
22 103 44
249 225 63
250 33 11
12 192 83
160 65 259
57 24 25
138 58 260
21 84 142
254 206 164
47 59 113
174 190 75
210 253 138
118 33 283
85 64 173
68 51 201
100 234 294
32 133 112
131 296 165
196 105 205
204 214 230
40 88 214
221 81 33
34 77 286
247 215 30
162 252 212
188 200 335
119 289 275
275 67 118
201 77 303
184 246 277
128 94 183
16 292 292
264 60 16
111 96 122
44 191 67
104 40 195
52 211 324
13 160 282
164 258 203
293 142 234
30 209 255
162 247 66
21 117 68
185 244 204
25 136 313
80 213 220
106 121 179
54 274 217
192 174 272
153 50 348
